Name,Hit end,Hit start,Query,Query coverage,Query end,Query start,Sequence Length
17_ffb7e73e-2435-4264-8a43-f1864320c228,27097,27326,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.40%,235,1,31642
18_0a2f2b16-134c-42e3-96a1-4bece20f95e6,3676,3496,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.85%,188,8,42091
18_0a2f2b16-134c-42e3-96a1-4bece20f95e6,3649,3420,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.40%,235,1,42091
18_0a910d2e-fb65-41a8-944e-4d6654949ae7,8475,16382,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,82.77%,8111,1,20756
18_0ab073f2-a769-46af-a719-b6e1c867f562,30590,20979,LmxM.12_left_10kb - bases 201 - 10000,99.95%,9795,1,32029
18_0ac8f571-1f3c-49a0-b2b3-b2031d6d409d,10074,425,LmxM.31 (reversed)_right_10kb - bases 201 - 10000,99.73%,9774,1,36811
18_0af303a9-5af2-46d4-b4dd-cf6df3fb8729,30859,31228,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,3.66%,2603,2245,48012
18_0b4ddc26-4311-4347-af6a-2313bdf7b6b2,2639,1570,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,11.12%,1094,5,2687
18_0b7a5178-8b02-4bd3-86a5-221cd7fec252,21407,11734,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,100.00%,9800,1,32041
18_0b3119e8-5a25-407c-823d-7a75f466d16d,2217,651,LmxM.34 (reversed)_right_10kb - bases 201 - 10000,16.06%,1574,1,2220
18_0be0530c-c3c1-499f-a713-43acd3d7e708,925,773,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.55%,159,8,31959
18_0c0de9c4-849b-4363-a897-019a1722a434,30187,39920,LmxM.33_left_10kb - bases 201 - 10000,100.00%,9800,1,41355
18_0c0de9c4-849b-4363-a897-019a1722a434,35936,35603,LmxM.33_left_10kb - bases 201 - 10000,3.41%,930,597,41355
18_0c0de9c4-849b-4363-a897-019a1722a434,35632,35937,LmxM.33_left_10kb - bases 201 - 10000,3.12%,8898,8593,41355
18_0c0de9c4-849b-4363-a897-019a1722a434,31084,31391,LmxM.33_left_10kb - bases 201 - 10000,3.12%,4314,4009,41355
18_0c0de9c4-849b-4363-a897-019a1722a434,39324,38985,LmxM.33_left_10kb - bases 201 - 10000,3.49%,4344,4003,41355
18_0c0de9c4-849b-4363-a897-019a1722a434,31378,31084,LmxM.33_left_10kb - bases 201 - 10000,2.99%,918,626,41355
18_0c0de9c4-849b-4363-a897-019a1722a434,18362,17987,LmxM.33_left_10kb - bases 201 - 10000,3.57%,4337,3988,41355
18_0c0de9c4-849b-4363-a897-019a1722a434,39294,39005,LmxM.33_left_10kb - bases 201 - 10000,2.99%,8898,8606,41355
18_0c0de9c4-849b-4363-a897-019a1722a434,18339,17991,LmxM.33_left_10kb - bases 201 - 10000,3.31%,8898,8575,41355
18_0c0de9c4-849b-4363-a897-019a1722a434,18021,18352,LmxM.33_left_10kb - bases 201 - 10000,3.12%,918,613,41355
18_0c1f8b89-cf53-4974-a5a7-47cbeb04f9c3,68,5659,LmxM.13_left_10kb - bases 201 - 10000,57.62%,5647,1,5887
18_0c5d142c-d690-4955-b3a0-7ec3ff19dcde,19981,20177,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,23910
18_0c5d142c-d690-4955-b3a0-7ec3ff19dcde,19981,20144,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.68%,172,8,23910
18_0c58deb0-6793-4c16-9570-ef3fe7d7e18e,10491,800,LmxM.27_left_10kb - bases 201 - 10000,100.00%,9800,1,36540
18_0c386c71-657b-41ac-b35b-f3454d82211e,10060,395,LmxM.19_left_10kb - bases 201 - 10000,100.00%,9800,1,46687
18_0c386c71-657b-41ac-b35b-f3454d82211e,7501,6137,LmxM.19_left_10kb - bases 201 - 10000,14.10%,6346,4965,46687
18_0c386c71-657b-41ac-b35b-f3454d82211e,6654,5306,LmxM.19_left_10kb - bases 201 - 10000,14.13%,7201,5817,46687
18_0c386c71-657b-41ac-b35b-f3454d82211e,7501,6981,LmxM.19_left_10kb - bases 201 - 10000,5.38%,5489,4963,46687
18_0c386c71-657b-41ac-b35b-f3454d82211e,5807,5306,LmxM.19_left_10kb - bases 201 - 10000,5.33%,7195,6674,46687
18_0c386c71-657b-41ac-b35b-f3454d82211e,538,372,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.73%,174,5,46687
18_0c0534a2-e321-4f7b-a7f6-d2177986c71d,6907,7024,LmxM.12_left_10kb - bases 201 - 10000,1.22%,121,2,7781
18_0c0534a2-e321-4f7b-a7f6-d2177986c71d,6908,7103,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,7781
18_0c0534a2-e321-4f7b-a7f6-d2177986c71d,6908,7070,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.69%,170,5,7781
18_0c36230f-bc6b-4937-877b-01b07bb5f688,1658,1524,LmxM.12_left_10kb - bases 201 - 10000,1.39%,137,2,59608
18_0c36230f-bc6b-4937-877b-01b07bb5f688,11198,1500,LmxM.19_left_10kb - bases 201 - 10000,100.00%,9800,1,59608
18_0c36230f-bc6b-4937-877b-01b07bb5f688,8613,7235,LmxM.19_left_10kb - bases 201 - 10000,14.06%,6340,4963,59608
18_0c36230f-bc6b-4937-877b-01b07bb5f688,7758,6399,LmxM.19_left_10kb - bases 201 - 10000,14.13%,7201,5817,59608
18_0c36230f-bc6b-4937-877b-01b07bb5f688,8613,8095,LmxM.19_left_10kb - bases 201 - 10000,5.24%,5483,4970,59608
18_0c36230f-bc6b-4937-877b-01b07bb5f688,6919,6399,LmxM.19_left_10kb - bases 201 - 10000,5.39%,7201,6674,59608
18_0c36230f-bc6b-4937-877b-01b07bb5f688,1657,1444,LmxM.27_left_10kb - bases 201 - 10000,2.21%,217,1,59608
18_0c36230f-bc6b-4937-877b-01b07bb5f688,1657,1477,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.86%,186,5,59608
18_0cf82393-58ab-4867-a768-26be7b83b94f,74,4282,LmxM.05_left_10kb - bases 201 - 10000,43.52%,4265,1,4781
18_0d7eb859-7fb1-42cc-b8c3-729450a07102,2297,2205,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,59971
18_0d25047e-b757-4c5c-8777-de9b0762e353,11202,1512,LmxM.13_left_10kb - bases 201 - 10000,99.98%,9798,1,25860
18_0da7df18-9420-4fac-99ed-c1f25af553de,1685,1533,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.55%,159,8,26718
18_0da77a66-3024-4408-98d1-026069b8bd34,24005,14322,LmxM.23_left_10kb - bases 201 - 10000,100.00%,9800,1,41507
18_00e7ef68-57b3-4458-b544-7d7ab0f5394c,2010,2169,LmxM.19_left_10kb - bases 201 - 10000,1.64%,161,1,3763
18_00e7ef68-57b3-4458-b544-7d7ab0f5394c,2009,2196,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.93%,189,1,3763
18_0e87b668-10a8-44ce-9399-21d51a1411e7,81,8551,LmxM.31 (reversed)_right_10kb - bases 201 - 10000,88.04%,8628,1,9331
18_0e98979f-3f4e-47a4-8f16-00306d01f6f2,67,4680,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,47.32%,4637,1,5770
18_00eba907-03ad-423d-8750-dc05adeca6f0,3120,3319,LmxM.27_left_10kb - bases 201 - 10000,2.04%,202,3,11449
18_0f3cba5e-e6c8-43aa-8a21-71fdbe98082f,38,6634,LmxM.13_left_10kb - bases 201 - 10000,68.49%,6715,4,7701
18_0f97a501-5052-4426-9856-992c8596e2d0,2883,12638,LmxM.28_left_10kb - bases 201 - 10000,100.00%,9800,1,23917
18_1a9ae971-12ce-46a5-918a-c5815928918a,12544,2828,LmxM.31 (reversed)_right_10kb - bases 201 - 10000,99.95%,9800,6,70853
18_1a511b4c-d5da-41b2-ae36-f36315a16fa0,82,8151,LmxM.28_left_10kb - bases 201 - 10000,82.60%,8095,1,19770
18_1a66014a-ec62-4d41-9323-dec20cbce57d,875,807,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.70%,91,23,10033
18_1ab09137-0a5b-482f-8134-123b345b132c,92177,92410,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,2.38%,234,2,93838
18_1abb1fba-0426-443c-ad70-5279c30647d8,28461,28551,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,29572
18_1abb1fba-0426-443c-ad70-5279c30647d8,28461,28659,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,29572
18_1abb1fba-0426-443c-ad70-5279c30647d8,28461,28626,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.68%,172,8,29572
18_1ad79275-c839-46c5-98e0-3b0d0ab7d0a1,10582,876,LmxM.19_left_10kb - bases 201 - 10000,100.00%,9800,1,35364
18_1ad79275-c839-46c5-98e0-3b0d0ab7d0a1,7997,6682,LmxM.19_left_10kb - bases 201 - 10000,13.53%,6346,5021,35364
18_1ad79275-c839-46c5-98e0-3b0d0ab7d0a1,7140,5788,LmxM.19_left_10kb - bases 201 - 10000,14.03%,7191,5817,35364
18_1ad79275-c839-46c5-98e0-3b0d0ab7d0a1,7997,7472,LmxM.19_left_10kb - bases 201 - 10000,5.38%,5489,4963,35364
18_1ad79275-c839-46c5-98e0-3b0d0ab7d0a1,6308,5788,LmxM.19_left_10kb - bases 201 - 10000,5.39%,7201,6674,35364
18_1ae5c1b3-9b20-448c-9780-fa03d314ecaa,21278,30994,LmxM.01_left_10kb - bases 201 - 10000,100.00%,9800,1,32847
18_1b1f6778-41d9-40a8-8bf7-ade19625627a,8574,8810,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,2.40%,2675,2441,52473
18_1b1f6778-41d9-40a8-8bf7-ade19625627a,26916,27147,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,2.40%,2675,2441,52473
18_1b1f6778-41d9-40a8-8bf7-ade19625627a,51984,52134,LmxM.27_left_10kb - bases 201 - 10000,1.54%,151,1,52473
18_01b7f4c9-1b65-472a-994c-d0c649a6de55,886,796,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,135787
18_01b7f4c9-1b65-472a-994c-d0c649a6de55,887,768,LmxM.12_left_10kb - bases 201 - 10000,1.22%,121,2,135787
18_01b7f4c9-1b65-472a-994c-d0c649a6de55,886,689,LmxM.27_left_10kb - bases 201 - 10000,2.02%,199,2,135787
18_1b039aaa-d669-4d9a-8b7b-cacaa1a6825f,8203,1241,LmxM.05_left_10kb - bases 201 - 10000,72.00%,7056,1,8205
18_1b93c35d-9cc6-414d-b4f5-6edf12e8148a,11536,1782,LmxM.28_left_10kb - bases 201 - 10000,100.00%,9800,1,14440
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,711,540,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.77%,173,1,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,8531,599,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,82.77%,8111,1,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,14787,10541,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,44.76%,9800,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,9184,6621,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,27.52%,8111,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,12678,10101,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,27.52%,8111,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,8969,6405,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,27.52%,8111,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,8753,6192,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,27.52%,8111,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,9615,7059,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,27.52%,8111,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,12239,9672,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,27.52%,8111,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,12891,10319,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,27.52%,8111,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,11580,9025,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,27.52%,8111,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,9399,6839,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,27.52%,8111,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,9831,7276,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,27.52%,8111,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,12461,9888,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,27.52%,8111,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,11799,9238,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,27.52%,8111,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,11362,8811,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,27.52%,8111,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,12020,9456,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,27.52%,8111,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,10263,7714,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,27.52%,8111,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,10921,8369,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,27.52%,8111,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,10046,7495,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,27.52%,8111,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,10481,7933,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,27.52%,8111,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,11144,8589,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,27.52%,8111,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,10703,8152,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,27.52%,8111,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,13112,10760,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,25.15%,7879,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,8312,5978,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,25.10%,8111,5652,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,8095,5975,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,22.81%,8111,5877,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,13110,10980,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,22.78%,7646,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,7876,5975,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,20.49%,8111,6104,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,13112,11201,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,20.47%,7420,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,13112,11419,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,18.07%,7185,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,7657,5975,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,18.16%,8111,6332,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,13112,11637,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,15.81%,6963,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,7438,5981,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,15.70%,8111,6573,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,13112,11858,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,13.49%,6736,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,7219,5975,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,13.41%,8111,6798,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,7001,5975,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,11.14%,8111,7020,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,13110,12077,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,11.14%,6506,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,13110,12299,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,8.71%,6268,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,6782,5981,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,8.73%,8111,7256,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,6564,5978,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,6.44%,8111,7481,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,13112,12518,LmxM.16 (reversed)_right_10kb - bases 201 - 10000,6.45%,6046,5415,43768
18_1b2699e5-2103-4b5a-9103-caaeac4f8644,20180,20540,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,3.80%,2596,2225,43768
18_1b613612-0f15-40ad-85af-23f131b8a2fd,31374,31805,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,4.41%,2676,2245,47795
18_1c4843a8-38fe-488b-a3e2-212d6115e55a,40222,49959,LmxM.23_left_10kb - bases 201 - 10000,100.00%,9800,1,67930
18_1cf03dc3-6749-4ac4-bca3-b62757097bdf,78,2458,LmxM.07_left_10kb - bases 201 - 10000,24.50%,2403,3,3830
18_1d4c0aa5-b652-4d1a-aa1d-ea47f68bbca6,11403,1645,LmxM.01_left_10kb - bases 201 - 10000,100.00%,9800,1,12774
18_1d4f9970-58c6-495e-8912-daa2a962cd8e,10248,521,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,100.00%,9800,1,10269
18_1d4f9970-58c6-495e-8912-daa2a962cd8e,10156,8061,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,21.46%,8827,6725,10269
18_1d4f9970-58c6-495e-8912-daa2a962cd8e,9279,7188,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,21.48%,9707,7603,10269
18_1d4f9970-58c6-495e-8912-daa2a962cd8e,8402,7188,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,12.52%,9707,8481,10269
18_1d4f9970-58c6-495e-8912-daa2a962cd8e,10156,8923,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,12.50%,7949,6725,10269
18_1d4f9970-58c6-495e-8912-daa2a962cd8e,7533,7188,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,3.54%,9707,9361,10269
18_1d4f9970-58c6-495e-8912-daa2a962cd8e,10156,9818,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,3.48%,7071,6731,10269
18_1d97d16f-3d47-4fdb-9cd9-61c5ef439391,6854,7005,LmxM.19_left_10kb - bases 201 - 10000,1.58%,155,1,7811
18_1d97d16f-3d47-4fdb-9cd9-61c5ef439391,6853,7035,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.85%,182,2,7811
18_1d97d16f-3d47-4fdb-9cd9-61c5ef439391,6873,7108,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.39%,234,1,7811
18_1d97d16f-3d47-4fdb-9cd9-61c5ef439391,6861,7033,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.76%,172,1,7811
18_1d166e52-be8c-4120-b781-fe46152fbb3c,18818,18405,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,4.28%,2664,2246,62183
18_1d415170-0a78-4583-89bd-b89c76e1e8c9,23259,13667,LmxM.28_left_10kb - bases 201 - 10000,100.00%,9800,1,62113
18_1df4218b-e39a-460f-bd90-ea21d325d1e3,74,836,LmxM.18 (reversed)_right_10kb - bases 201 - 10000,7.87%,771,1,1376
18_1dfc9bbb-bc34-496c-a8ae-da60a0b687cb,697,766,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.71%,91,22,2516
18_1dfc9bbb-bc34-496c-a8ae-da60a0b687cb,697,894,LmxM.27_left_10kb - bases 201 - 10000,2.03%,199,1,2516
18_1e0e36a0-668b-4956-9413-065f3e1f1e27,1991,2169,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.85%,182,2,3428
18_1e0e36a0-668b-4956-9413-065f3e1f1e27,2011,2241,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.39%,234,1,3428
18_1e0e36a0-668b-4956-9413-065f3e1f1e27,1999,2167,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.76%,172,1,3428
18_1e2c2c6f-6337-4f93-8ad7-c0f124694867,10907,1217,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,100.00%,9800,1,49165
18_1e2c2c6f-6337-4f93-8ad7-c0f124694867,1288,1149,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,1.43%,144,5,49165
18_1e226eb1-e8d7-4312-be08-ab9631a6b120,3753,3663,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.93%,91,1,43880
18_1e4057a9-cde2-434f-a9c7-ee90326862ca,8563,1469,LmxM.34 (reversed)_right_10kb - bases 201 - 10000,72.84%,7138,1,8616
18_01e59141-cdab-4740-8918-83667eac1489,3779,3613,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.68%,172,8,16570
18_1eabda86-0d18-4f0c-befe-05cd7218301c,7508,6076,LmxM.12_left_10kb - bases 201 - 10000,14.73%,1444,1,7561
18_1ec23350-eb0b-4fec-9a38-e3c130bff904,6541,16237,LmxM.24_left_10kb - bases 201 - 10000,100.00%,9800,1,35973
18_1ed2f9d4-027e-400f-9b10-5e6374be205b,12292,21971,LmxM.07_left_10kb - bases 201 - 10000,99.96%,9800,5,22648
18_1ef651b8-a898-4c6e-befe-9c58248d9e8a,2180,2294,LmxM.12_left_10kb - bases 201 - 10000,1.16%,115,2,3360
18_1ef651b8-a898-4c6e-befe-9c58248d9e8a,81,2318,LmxM.19_left_10kb - bases 201 - 10000,22.90%,2244,1,3360
18_1ef651b8-a898-4c6e-befe-9c58248d9e8a,2218,2374,LmxM.27_left_10kb - bases 201 - 10000,1.59%,156,1,3360
18_1ef651b8-a898-4c6e-befe-9c58248d9e8a,2149,2341,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.97%,197,5,3360
18_1f31c003-46a2-4cfe-9a97-fe3100b93340,10455,10641,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,1.97%,193,1,12593
18_1f89fcf6-08a9-4d7e-9cd9-210126ad74fe,2432,2250,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.85%,182,2,5968
18_1f89fcf6-08a9-4d7e-9cd9-210126ad74fe,2410,2177,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.37%,232,1,5968
18_1f89fcf6-08a9-4d7e-9cd9-210126ad74fe,2424,2252,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.76%,172,1,5968
18_1fa52735-f8c9-4157-8e46-0972b6b7d776,74702,74876,LmxM.03 (reversed)_right_10kb - bases 201 - 10000,1.78%,175,2,75566
18_1fa52735-f8c9-4157-8e46-0972b6b7d776,74699,74874,LmxM.15 (reversed)_right_10kb - bases 201 - 10000,1.80%,176,1,75566
18_1fa52735-f8c9-4157-8e46-0972b6b7d776,65097,74795,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,100.00%,9800,1,75566
18_1fbda072-f3fc-4d20-aad5-1e7c03017320,15122,8237,LmxM.24_left_10kb - bases 201 - 10000,70.51%,6922,13,15128
18_1fc42d53-b15a-4b8a-b8cd-e1233c5794fd,13932,23624,LmxM.05_left_10kb - bases 201 - 10000,99.98%,9800,3,25079
18_2a1bd602-7009-4621-b804-d39dfb53c610,7119,7192,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,0.77%,96,22,9301
18_2a1bd602-7009-4621-b804-d39dfb53c610,6750,6973,LmxM.12 (reversed)_right_10kb - bases 201 - 10000,2.26%,221,1,9301
18_2acb3ed8-f504-4ece-ba2b-7ac6c6aa1501,75984,76407,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,4.35%,2670,2245,96509
18_2ace0335-83ba-4906-8059-ac27ef188cd7,18426,8758,LmxM.23_left_10kb - bases 201 - 10000,99.92%,9800,9,41319
18_2ae1335d-b5e7-4802-b6fc-649b284c8676,10399,653,LmxM.05_left_10kb - bases 201 - 10000,100.00%,9800,1,16382
18_2ae1335d-b5e7-4802-b6fc-649b284c8676,719,494,LmxM.09 (reversed)_right_10kb - bases 201 - 10000,2.40%,235,1,16382
18_2af1c24e-8885-4f18-92a7-392ee89a888f,76,1563,LmxM.28_left_10kb - bases 201 - 10000,15.44%,1516,4,3239
18_2afa6892-4946-44f1-a492-b43fdd7703bb,40566,50111,LmxM.33_left_10kb - bases 201 - 10000,100.00%,9800,1,51165
18_2afa6892-4946-44f1-a492-b43fdd7703bb,49521,49207,LmxM.33_left_10kb - bases 201 - 10000,3.20%,4343,4030,51165
18_2afa6892-4946-44f1-a492-b43fdd7703bb,41437,41738,LmxM.33_left_10kb - bases 201 - 10000,3.12%,4314,4009,51165
18_2afa6892-4946-44f1-a492-b43fdd7703bb,49493,49207,LmxM.33_left_10kb - bases 201 - 10000,2.91%,8898,8614,51165
18_2afa6892-4946-44f1-a492-b43fdd7703bb,46156,45842,LmxM.33_left_10kb - bases 201 - 10000,3.34%,910,584,51165
18_2afa6892-4946-44f1-a492-b43fdd7703bb,45881,46175,LmxM.33_left_10kb - bases 201 - 10000,3.11%,8898,8594,51165
18_2afa6892-4946-44f1-a492-b43fdd7703bb,41725,41437,LmxM.33_left_10kb - bases 201 - 10000,2.99%,918,626,51165
18_2afa6892-4946-44f1-a492-b43fdd7703bb,29042,28707,LmxM.33_left_10kb - bases 201 - 10000,3.36%,4337,4009,51165
18_2afa6892-4946-44f1-a492-b43fdd7703bb,29019,28690,LmxM.33_left_10kb - bases 201 - 10000,3.31%,8898,8575,51165
18_2afa6892-4946-44f1-a492-b43fdd7703bb,28720,29032,LmxM.33_left_10kb - bases 201 - 10000,3.12%,918,613,51165
18_02b8de62-72f3-4c52-b7ab-4125e2e8c32a,10170,468,LmxM.31 (reversed)_right_10kb - bases 201 - 10000,100.00%,9800,1,38001
18_2baf74d1-0647-44ec-8456-dc4dbcf21e87,14417,24066,LmxM.13_left_10kb - bases 201 - 10000,100.00%,9800,1,24408
18_2bf50658-1732-4d31-8cf5-2330ff21292b,10030,407,LmxM.33_left_10kb - bases 201 - 10000,100.00%,9800,1,10618
18_2bf50658-1732-4d31-8cf5-2330ff21292b,4321,4654,LmxM.33_left_10kb - bases 201 - 10000,3.41%,930,597,10618
18_2bf50658-1732-4d31-8cf5-2330ff21292b,4625,4320,LmxM.33_left_10kb - bases 201 - 10000,3.12%,8898,8593,10618
18_2bf50658-1732-4d31-8cf5-2330ff21292b,9137,8831,LmxM.33_left_10kb - bases 201 - 10000,3.12%,4314,4009,10618
18_2bf50658-1732-4d31-8cf5-2330ff21292b,8873,9137,LmxM.33_left_10kb - bases 201 - 10000,2.71%,891,626,10618
18_2bf50658-1732-4d31-8cf5-2330ff21292b,999,1318,LmxM.33_left_10kb - bases 201 - 10000,3.30%,4343,4021,10618
18_2bf50658-1732-4d31-8cf5-2330ff21292b,1030,1317,LmxM.33_left_10kb - bases 201 - 10000,2.93%,8892,8606,10618
18_2c669ec0-485b-4d14-a343-e92098ee0de7,10546,844,LmxM.23 (reversed)_right_10kb - bases 201 - 10000,100.00%,9800,1,54005
